,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Duma,SY,33.57,36.4,55.4,58,0,13.8,clear sky
301,Nālūt,LY,30.33,10.85,84.47,7,41,14.34,scattered clouds
302,Kismayo,SO,-0.36,42.55,83.01,79,56,9.46,broken clouds
303,Sabzawār,IR,36.21,57.68,68.47,38,77,6.11,broken clouds
304,Ejido,VE,8.55,-71.24,78.69,66,100,4.7,overcast clouds
305,Cotonou,BJ,6.37,2.42,86.0,74,40,9.22,haze
306,Kamenka,RU,51.32,42.77,37.0,93,100,9.55,moderate rain
307,Gambēla,ET,8.25,34.58,87.6,45,79,7.05,broken clouds
308,Cristalina,BR,-16.77,-47.61,77.65,56,97,4.41,overcast clouds
309,Maralal,KE,1.1,36.7,66.81,65,92,7.76,light rain
310,Alta Floresta,BR,-9.88,-56.09,85.57,66,83,4.29,broken clouds
311,Kommunisticheskiy,RU,61.68,64.48,34.32,94,100,8.43,overcast clouds
312,Pataskala,US,40.0,-82.67,54.0,30,1,10.36,clear sky
313,Ust-Tsilma,RU,65.44,52.15,21.04,97,100,2.3,overcast clouds
314,Boksitogorsk,RU,59.47,33.85,30.99,86,83,2.19,broken clouds
315,Tabriz,IR,38.08,46.29,44.6,61,20,4.61,few clouds
316,Tsogni,GA,-2.79,10.1,78.98,81,99,5.86,overcast clouds
317,Paramonga,PE,-10.67,-77.83,75.06,71,61,10.27,broken clouds
318,Rosehearty,GB,57.7,-2.11,54.0,73,7,6.91,clear sky
319,Emirdağ,TR,39.02,31.15,51.35,55,91,6.42,overcast clouds
320,Narsaq,GL,60.92,-46.05,41.0,81,75,4.61,broken clouds
321,Oranjemund,NA,-28.55,16.43,63.82,77,0,11.14,clear sky
322,Quatre Cocos,MU,-20.21,57.76,81.0,89,75,8.05,light rain
323,Tombouctou,ML,20.0,-3.0,99.03,4,43,9.84,scattered clouds
324,Yenagoa,NG,4.92,6.26,85.77,63,66,11.18,broken clouds
325,Escanaba,US,45.75,-87.06,54.0,46,1,9.22,clear sky
326,Pitimbu,BR,-7.47,-34.81,82.4,89,75,12.66,broken clouds
327,Boa Vista,BR,2.82,-60.67,89.6,48,75,13.8,broken clouds
328,Saint-Pierre,RE,-21.34,55.48,78.8,83,20,4.61,light rain
329,Lixouri,GR,38.2,20.43,60.8,77,40,10.36,scattered clouds
330,Arzachena,IT,41.08,9.39,60.8,94,40,4.61,scattered clouds
331,São João da Barra,BR,-21.64,-41.05,84.2,58,75,8.05,broken clouds
332,Mbanza-Ngungu,CD,-5.25,14.87,72.61,89,86,2.59,moderate rain
333,Viedma,AR,-40.81,-63.0,80.6,35,83,15.9,light rain
334,Constitución,CL,-35.33,-72.42,67.68,55,1,8.52,clear sky
335,Lagoa,PT,39.05,-27.98,60.15,87,97,30.53,overcast clouds
336,Kaputa,ZM,-8.47,29.66,72.72,79,19,1.92,light rain
337,Gubkinskiy,RU,64.43,76.5,30.69,88,100,10.67,overcast clouds
338,Coyhaique,CL,-45.58,-72.07,60.8,48,40,9.22,scattered clouds
339,Micheweni,TZ,-4.97,39.83,82.15,77,67,14.12,broken clouds
340,Birao,CF,10.28,22.79,90.79,13,74,5.5,broken clouds
341,Yining,CN,29.04,114.56,53.38,93,100,1.92,overcast clouds
342,Trofors,NO,65.53,13.41,42.8,87,90,19.57,light rain
343,Belmonte,BR,-15.86,-38.88,87.8,70,20,8.05,few clouds
344,Olden,NO,61.84,6.81,39.0,71,90,5.01,overcast clouds
345,Cobija,BO,-11.03,-68.77,76.19,87,100,4.36,overcast clouds
346,Salalah,OM,17.02,54.09,82.4,78,0,2.3,clear sky
347,Conceição do Mato Dentro,BR,-19.04,-43.42,76.39,72,99,1.61,overcast clouds
348,Sabha,LY,27.04,14.43,78.73,11,3,8.52,clear sky
349,Bariloche,AR,-41.15,-71.31,70.0,42,0,3.44,clear sky
350,Upernavik,GL,72.79,-56.15,-10.79,84,26,5.86,scattered clouds
351,Orda,RU,57.2,56.91,31.75,98,100,5.17,overcast clouds
352,Ginir,ET,7.13,40.7,64.35,57,89,4.7,overcast clouds
353,Tazmalt,DZ,36.39,4.4,67.62,52,26,9.31,scattered clouds
354,Daugai,LT,54.37,24.33,37.4,81,75,8.03,broken clouds
355,Itainópolis,BR,-7.45,-41.48,99.63,24,4,5.66,clear sky
356,Dhārchula,IN,29.85,80.53,54.73,16,12,9.24,few clouds
357,Conde,BR,-7.26,-34.91,82.4,89,75,12.66,broken clouds
358,Porto Nacional,BR,-10.71,-48.42,87.8,58,40,6.91,scattered clouds
